symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
MRCC,0001512931,Monroe Capital Corp,,ACQUISITION,2026-04-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,HRZN,Horizon Technology Finance Corp,ACQUISITION
SEE,0001012100,Sealed Air Corp,,ACQUISITION,2026-04-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Cd&r,ACQUISITION
AL,0001487712,Air Lease Corp,,ACQUISITION,2026-04-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SSUMY,Sumitomo Corp,ACQUISITION
SWKH,0001089907,Swk Holdings Corp,,ACQUISITION,2026-04-06,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,RWAY,Runway Growth Finance Corp,ACQUISITION
HOLX,0000859737,Hologic Inc,,ACQUISITION,2026-04-06,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Tpg Capital Lp,ACQUISITION
OS,0001889956,Onestream Inc,,ACQUISITION,2026-04-02,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Hg Capital,ACQUISITION
BLFY,0001846017,Blue Foundry Bancorp,,ACQUISITION,2026-04-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FULT,Fulton Financial Corp,ACQUISITION
TBHC,0001056285,Brand House Collective Inc,,ACQUISITION,2026-04-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NXH,Neighborhood Intelligence Inc,ACQUISITION
GLDD,0001372020,Great Lakes Dredge & Dock Corp,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Saltchuk Resources Inc,ACQUISITION
ONTF,0001110611,On24 Inc,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Cvent LLC,ACQUISITION
FFWM,0001413837,First Foundation Inc,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FSUN,Firstsun Capital Bancorp,ACQUISITION
UBFO,0001137547,United Security Bancshares,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CWBC,Community West Bancshares,ACQUISITION
DVS,0001542028,Dolly Varden Silver Corp,,ACQUISITION,2026-03-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CTGO,Contango Silver & Gold Inc,ACQUISITION
NGD,0000800166,New Gold Inc,,ACQUISITION,2026-03-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CDE,Coeur Mining Inc,ACQUISITION
TGNA,0000039899,Tegna Inc,,ACQUISITION,2026-03-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NXST,Nexstar Media Group Inc,ACQUISITION
EXAS,0001124140,Exact Sciences Corp,,ACQUISITION,2026-03-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ABT,Abbott Laboratories,ACQUISITION
CFLT,0001699838,Confluent Inc,,ACQUISITION,2026-03-17,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,IBM,International Business Machines Corp,ACQUISITION
QIPT,0001540013,Quipt Home Medical Corp,,ACQUISITION,2026-03-17,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kingswood Capital Management Lp,ACQUISITION
SGN,0001898474,Signing Day Sports Inc,,ACQUISITION,2026-03-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AIB,Aib Data Centers Inc,ACQUISITION
IROQ,0001514743,If Bancorp Inc,,ACQUISITION,2026-03-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Servbanc Holdco Inc,ACQUISITION
ALEX,0001545654,Alexander & Baldwin Inc,,ACQUISITION,2026-03-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Mw Group,ACQUISITION
EB,0001475115,Eventbrite Inc,,ACQUISITION,2026-03-09,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BSP,Bending Spoons SpA,ACQUISITION
VTYX,0001851194,Ventyx Biosciences Inc,,ACQUISITION,2026-03-04,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,LLY,Eli Lilly & Co.,ACQUISITION
RAPT,0001673772,Rapt Therapeutics Inc,,ACQUISITION,2026-03-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,GSK,Gsk PLC,ACQUISITION
FRGE,0001827821,Forge Global Holdings Inc,,ACQUISITION,2026-02-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SCHW,Schwab Charles Corp,ACQUISITION
MBCN,0000836147,Middlefield Banc Corp,,ACQUISITION,2026-02-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FMNB,Farmers National Banc Corp,ACQUISITION
RNAM,0001599901,Avidity Biosciences Inc,,ACQUISITION,2026-02-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NVS,Novartis Ag,ACQUISITION
AHL,0001267395,Aspen Insurance Holdings Ltd.,,ACQUISITION,2026-02-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SMPNY,Sompo Holdings Inc,ACQUISITION
MGIC,0000876779,Magic Software Enterprises Ltd.,,ACQUISITION,2026-02-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Matrix It Ltd.,ACQUISITION
MOFG,0001412665,Midwestone Financial Group Inc,,ACQUISITION,2026-02-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NIC,Nicolet Bankshares Inc,ACQUISITION
SNCR,0001131554,Synchronoss Technologies Inc,,ACQUISITION,2026-02-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Lumine Group Inc,ACQUISITION
ZEUS,0000917470,Olympic Steel Inc,,ACQUISITION,2026-02-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,RYZ,Ryerson Holding Corp,ACQUISITION
SOHO,0001301236,Sotherly Hotels Inc,,ACQUISITION,2026-02-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kemmons Wilson Hospitality Partners Lp,ACQUISITION
AVDL,0001012477,Avadel Pharmaceuticals PLC,,ACQUISITION,2026-02-11,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ALKS,Alkermes PLC,ACQUISITION
