ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
FFWM,0001413837,First Foundation Inc,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FSUN,Firstsun Capital Bancorp,2026-03-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-27 21:10:37+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001104659-26-021558,https://www.sec.gov/Archives/edgar/data/1413837/000110465926021558/tm267298d3_8k.htm
UBFO,0001137547,United Security Bancshares,,ACQUISITION,2026-03-31,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CWBC,Community West Bancshares,2026-03-31 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-16 21:33:06+00:00,sec_candidate,6.0,merger\s+agreement|acquirer_name|acquirer_symbol,8-K,0001137547-26-000004,https://www.sec.gov/Archives/edgar/data/1137547/000113754726000004/ubfo-20260316.htm
DVS,0001542028,Dolly Varden Silver Corp,,ACQUISITION,2026-03-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CTGO,Contango Silver & Gold Inc,2026-03-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings,,,,,
NGD,0000800166,New Gold Inc,,ACQUISITION,2026-03-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CDE,Coeur Mining Inc,2026-03-23 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,,no_candidate_filings_in_window,,,,,
TGNA,0000039899,Tegna Inc,,ACQUISITION,2026-03-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NXST,Nexstar Media Group Inc,2026-03-20 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-11-21 22:15:41+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001104659-25-115057,https://www.sec.gov/Archives/edgar/data/39899/000110465925115057/tm2531511d1_8k.htm
EXAS,0001124140,Exact Sciences Corp,,ACQUISITION,2026-03-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,ABT,Abbott Laboratories,2026-03-20 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-20 21:55:01+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0001193125-26-061570,https://www.sec.gov/Archives/edgar/data/1124140/000119312526061570/d56585d8k.htm
CFLT,0001699838,Confluent Inc,,ACQUISITION,2026-03-17,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,IBM,International Business Machines Corp,2026-03-17 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-12 17:23:25+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001104659-26-014429,https://www.sec.gov/Archives/edgar/data/1699838/000110465926014429/tm266253d1_8k.htm
QIPT,0001540013,Quipt Home Medical Corp,,ACQUISITION,2026-03-17,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kingswood Capital Management Lp,2026-03-17 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-16 11:41:06+00:00,sec_candidate,6.0,change\s+of\s+control|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001104659-26-027980,https://www.sec.gov/Archives/edgar/data/1540013/000110465926027980/tm268505d5_8k.htm
SGN,0001898474,Signing Day Sports Inc,,ACQUISITION,2026-03-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AIB,Aib Data Centers Inc,2026-03-16 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-13 12:00:30+00:00,sec_candidate,5.0,business\s+combination\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_symbol,8-K,0001213900-26-027266,https://www.sec.gov/Archives/edgar/data/1898474/000121390026027266/ea0281555-8k425_signing.htm
IROQ,0001514743,If Bancorp Inc,,ACQUISITION,2026-03-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Servbanc Holdco Inc,2026-03-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-04 21:30:39+00:00,sec_candidate,7.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|acquirer_name,8-K,0000943374-26-000053,https://www.sec.gov/Archives/edgar/data/1514743/000094337426000053/form8k.htm
ALEX,0001545654,Alexander & Baldwin Inc,,ACQUISITION,2026-03-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Mw Group,2026-03-12 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-09 06:31:06+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001104659-25-119462,https://www.sec.gov/Archives/edgar/data/1545654/000110465925119462/tm2532987d1_8k.htm
EB,0001475115,Eventbrite Inc,,ACQUISITION,2026-03-09,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BSP,Bending Spoons SpA,2026-03-09 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-19 22:15:44+00:00,sec_candidate,6.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition),8-K,0001193125-25-327083,https://www.sec.gov/Archives/edgar/data/1475115/000119312525327083/d910404d8k.htm
VTYX,0001851194,Ventyx Biosciences Inc,,ACQUISITION,2026-03-04,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,LLY,Eli Lilly & Co.,2026-03-04 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-22 21:16:21+00:00,sec_candidate,7.0,merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-26-019453,https://www.sec.gov/Archives/edgar/data/1851194/000119312526019453/d36232d8k.htm
RAPT,0001673772,Rapt Therapeutics Inc,,ACQUISITION,2026-03-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,GSK,Gsk PLC,2026-03-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-20 11:11:32+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|entered\s+into\s+.*(?:merger|acquisition)|acquirer_symbol|item_1_01_transaction,8-K,0001193125-26-015882,https://www.sec.gov/Archives/edgar/data/1673772/000119312526015882/d12800d8k.htm
FRGE,0001827821,Forge Global Holdings Inc,,ACQUISITION,2026-02-27,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,SCHW,Schwab Charles Corp,2026-02-27 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-29 16:15:13+00:00,sec_candidate,4.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement,8-K,0001827821-25-000034,https://www.sec.gov/Archives/edgar/data/1827821/000182782125000034/forge-20251222.htm
