ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source
NSA,0001618563,National Storage Affiliates Trust,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,PSA,Public Storage,2026-07-21 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
KORE,0001855457,Kore Group Holdings Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Abry Partners LLC,2026-07-21 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CCRN,0001141103,Cross Country Healthcare Inc,,ACQUISITION,2026-07-21,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Knox Lane Lp,2026-07-21 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
NFBK,0001493225,Northfield Bancorp Inc,,ACQUISITION,2026-07-20,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CLBK,Columbia Financial Inc,2026-07-20 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
CPRX,0001369568,Catalyst Pharmaceuticals Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Angelini Pharma SpA,2026-07-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
NUVL,0001861560,Nuvalent Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GSK,Gsk PLC,2026-07-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
GTLS,0000892553,Chart Industries Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,BKR,Baker Hughes Co.,2026-07-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
ESPR,0001434868,Esperion Therapeutics Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Archimed,2026-07-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
XOMA,0000791908,Xoma Royalty Corp,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,LGND,Ligand Pharmaceuticals Inc,2026-07-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
WSR,0001175535,Whitestone Reit,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ARES,Ares Management Corp,2026-07-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
EEX,0001579214,Emerald Holding Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,APO,Apollo Global Management Inc,2026-07-13 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement
