ticker,cik,company_name,exchange,event_type,seed_event_date,label_quality,announcement_url,cik_source,acquirer,acquirer_name,announcement_ts,announcement_source,audited_announcement_ts,audit_status,audit_score,audit_hits,audit_form,audit_accession,audit_document_url
MASI,0000937556,Masimo Corp,,ACQUISITION,2026-06-09,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,DHR,Danaher Corp,2026-06-09 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-17 13:44:47+00:00,sec_candidate,16.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol|item_1_01_transaction,8-K,0001104659-26-015904,https://www.sec.gov/Archives/edgar/data/937556/000110465926015904/tm266533d1_8k.htm
FONR,0000355019,Fonar Corp,,ACQUISITION,2026-06-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Damadian Raymond V,2026-06-03 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-30 01:56:28+00:00,sec_candidate,14.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|item_1_01_transaction,8-K,0001731122-25-001734,https://www.sec.gov/Archives/edgar/data/355019/000173112225001734/fonar_8-k.htm
FFIC,0000923139,Flushing Financial Corp,,ACQUISITION,2026-06-01,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OCFC,Oceanfirst Financial Corp,2026-06-01 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-12-30 00:53:17+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-25-335650,https://www.sec.gov/Archives/edgar/data/923139/000119312525335650/d37539d8k.htm
NVRI,0002104052,Enviri Corp,NYSE,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,sec_company_tickers_exchange,VEOEY,Veolia Environnement,2026-05-29 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-06-01 21:18:36+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-251752,https://www.sec.gov/Archives/edgar/data/2104052/000119312526251752/d258410d8k.htm
THR,0001489096,Thermon Group Holdings Inc,,ACQUISITION,2026-05-29,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,CECO,Ceco Environmental Corp,2026-05-29 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-24 12:34:04+00:00,sec_candidate,16.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol|item_1_01_transaction,8-K,0001104659-26-018826,https://www.sec.gov/Archives/edgar/data/1489096/000110465926018826/tm267070d1_8k.htm
AMWD,0000794619,American Woodmark Corp,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,MBC,Masterbrand Inc,2026-05-28 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2025-10-06 21:21:24+00:00,sec_candidate,9.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name,8-K,0001193125-25-232083,https://www.sec.gov/Archives/edgar/data/794619/000119312525232083/d65788d8k.htm
CVGW,0001133470,Calavo Growers Inc,,ACQUISITION,2026-05-28,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,AVO,Mission Produce Inc,2026-05-28 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-01-15 01:07:54+00:00,sec_candidate,13.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-013320,https://www.sec.gov/Archives/edgar/data/1133470/000119312526013320/d27429d8k.htm
VRE,0000924901,Veris Residential Inc,,ACQUISITION,2026-05-26,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Affinius Capital,2026-05-26 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-23 12:42:41+00:00,sec_candidate,19.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|change\s+of\s+control|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001104659-26-018349,https://www.sec.gov/Archives/edgar/data/924901/000110465926018349/tm267019d1_8k.htm
MCW,0001853513,Mister Car Wash Inc,,ACQUISITION,2026-05-19,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Leonard Green & Partners Lp,2026-05-19 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-18 12:15:18+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-056047,https://www.sec.gov/Archives/edgar/data/1853513/000119312526056047/d113732d8k.htm
SLNO,0001484565,Soleno Therapeutics Inc,,ACQUISITION,2026-05-18,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,NBIX,Neurocrine Biosciences Inc,2026-05-18 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-04-06 11:46:57+00:00,sec_candidate,17.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|acquisition\s+agreement|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-142911,https://www.sec.gov/Archives/edgar/data/1484565/000119312526142911/d142985d8k.htm
APLS,0001492422,Apellis Pharmaceuticals Inc,,ACQUISITION,2026-05-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,BIIB,Biogen Inc,2026-05-15 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-03-31 21:08:58+00:00,sec_candidate,16.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|tender\s+offer|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|acquirer_symbol|item_1_01_transaction,8-K,0001193125-26-134916,https://www.sec.gov/Archives/edgar/data/1492422/000119312526134916/d132653d8k.htm
EHAB,0001803737,Enhabit Inc,,ACQUISITION,2026-05-14,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Kinderhook Industries LLC,2026-05-14 12:00:00+00:00,provisional_stockanalysis_action_date_not_first_announcement,2026-02-23 21:51:40+00:00,sec_candidate,15.0,agreement\s+and\s+plan\s+of\s+merger|merger\s+agreement|definitive\s+agreement|will\s+be\s+acquired|entered\s+into\s+.*(?:merger|acquisition)|acquirer_name|item_1_01_transaction,8-K,0001193125-26-064210,https://www.sec.gov/Archives/edgar/data/1803737/000119312526064210/d29040d8k.htm
