symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
WSR,0001175535,Whitestone Reit,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ARES,Ares Management Corp,ACQUISITION
TBRG,0001169445,Trubridge Inc,,ACQUISITION,2026-07-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Iks Health,ACQUISITION
OLPX,0001868726,Olaplex Holdings Inc,,ACQUISITION,2026-07-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,HENKY,Henkel Ag & Co Kgaa,ACQUISITION
BLD,0001633931,Topbuild Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,QXO,Qxo Inc,ACQUISITION
SEM,0001320414,Select Medical Holdings Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Ortenzio Robert A,ACQUISITION
STEL,0001473844,Stellar Bancorp Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,PB,Prosperity Bancshares Inc,ACQUISITION
SILA,0001567925,Sila Realty Trust Inc,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,OWL,Blue Owl Capital Inc,ACQUISITION
JHG,0001274173,Janus Henderson Group PLC,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Trian Fund Management Lp,ACQUISITION
PRA,0001127703,Proassurance Corp,,ACQUISITION,2026-06-25,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,The Doctors Company,ACQUISITION
CWAN,0001866368,Clearwater Analytics Holdings Inc,,ACQUISITION,2026-06-24,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Warburg Pincus LLC,ACQUISITION
CNTA,0001847903,Centessa Pharmaceuticals PLC,,ACQUISITION,2026-06-23,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,LLY,Eli Lilly & Co.,ACQUISITION
ASRT,0001005201,Assertio Holdings Inc,,ACQUISITION,2026-06-16,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Zydus Lifesciences Ltd.,ACQUISITION
KW,0001408100,Kennedy-wilson Holdings Inc,,ACQUISITION,2026-06-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,FRFHF,Fairfax Financial Holdings Ltd.,ACQUISITION
KALV,0001348911,Kalvista Pharmaceuticals Inc,,ACQUISITION,2026-06-12,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Chiesi Farmaceutici SpA,ACQUISITION
MASI,0000937556,Masimo Corp,,ACQUISITION,2026-06-09,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,DHR,Danaher Corp,ACQUISITION
FONR,0000355019,Fonar Corp,,ACQUISITION,2026-06-03,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Damadian Raymond V,ACQUISITION
